Repository,Task ID,Bug / Task Description,Fix Commit,Patch Length (LOC),Base Commit,Source Archive,Archive Repo Root,Commit Subject,Confidence,Score,Changed File Count,Test File Count,Pass QA?,GPT5.5 Pass Rate,Visible Test Command Guess
apr,apr__f58ba0fe3d9a,Fix: :bug: update key,f58ba0fe3d9ac98f54e0a8f94bf9e4eb7fe547f0,6,4689a546fbaf2bcbfe0bfdf7d331f50ce56649a2,project_silver_repos/r9cqcPP6NKOJiJoMl7CE__apr.zip,apr,fix: :bug: update key,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
arcadia-interface,arcadia-interface__bb601cb3647c,Fix login bug,bb601cb3647ccc04af5e38558166fa3ff20c6ed3,81,96bc9629ff055b0b7e07be5426eb8c49dc348f3f,project_silver_repos/AEeojmFX2iPVlhY3qEu5__arcadia-interface.zip,Task-3-arcadia-interface,Fix login bug,medium-high,19,4,0,,,npm test
atlas,atlas__e8fa40c5e1f3,Fix seasonal_arima() generator output length bug,e8fa40c5e1f3e2df8d3a850ada4830be0f790f94,29,dfa0cc93c0c85d97d67592ffea301236403983df,project_silver_repos/H63Kz7E92UtA7J0RCGVz__atlas.zip,atlas,Fix seasonal_arima() generator output length bug,medium-high,19,1,0,,,pytest
blue-clerk-app,blue-clerk-app__c255d5bf5e52,Fix: bug in search companies function,c255d5bf5e52ab5146c2fd98d348e60d0a957125,13,51508112a751bf4362dd740ded10010e0f713795,project_silver_repos/DU3tNvKuU1KA7yOW0prt__blue-clerk-app.zip,blueclerk-node-api-sanitized,fix: bug in search companies function,medium-high,19,2,0,,,npm test
book_1,book-1__9d8b4b07689f,Fix bug...,9d8b4b07689f8d9cad454462fca37de6ae90576b,17,f0566edcd3e452b6fef3fde0c6d2eed8150ef120,project_silver_repos/b2KSMTGAZvIaEShXNgxf__book_1.zip,.,Fix bug...,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
control-tower,control-tower__06ccd86a053c,Fix range bug and brand name typeerrro,06ccd86a053c6db1a8bbe0bf7d0aaa4e810bf999,26,f094d9181022f816a5445e430cfcaa3984423e79,project_silver_repos/j2G8Tmf6alhaeB6doaua__control-tower.zip,control-tower,Fix range bug and brand name typeerrro,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
Crystal-AQ,crystal-aq__70d2c66efd64,Fixed tracker bug,70d2c66efd64690d46c6fd3d23af4b33558f2c64,15,e61b2000ca30301bc2f608e900d5a88cd28ccf9f,project_silver_repos/cyL78YSxKk5VzvnAf7ZT__Crystal-AQ.zip,Crystal-AQ,fixed tracker bug,medium-high,19,1,0,,,
cvideolal,cvideolal__1ddaa4fbd500,Fix: offset bug (#157),1ddaa4fbd500d3d3031a201261de651e6dbd5752,8,7bb63d94086f91d734e0a895489fad1d5c4b2478,project_silver_repos/QbUCyPcpFtnS8mb0hVNL__cvideolal.zip,cvideolal,fix: offset bug (#157),medium-high,19,2,0,,,npm install && npm test (verify package.json scripts)
flourich_creator,flourich-creator__dc8259a6e1d9,Fix bug on studio and profile page.,dc8259a6e1d9935c115dbcc68223ba952c11a386,101,dfc764cf697894f86bcb4530459a2fab779fc281,project_silver_repos/kPQfXFAPMI3i6IDhH9az__flourich_creator.zip,flourich_creator,fix bug on studio and profile page.,medium-high,19,3,0,,,npm test
flourich_customer,flourich-customer__4c133b8e3c9f,Fix  bug on chat logic,4c133b8e3c9fecf191ff2c1356327739705f44bd,8,1f1b363146ec9eb76a72d011ea20710547db20eb,project_silver_repos/cAsTkK6VjkGpENaeyMLT__flourich_customer.zip,flourich_customer,fix  bug on chat logic,medium-high,19,3,0,,,npm test
flowpipe,flowpipe__17a65f8f98c1,Fix: joinTransform — null/undefined keys are now unmatchable (SQL NULL semantics),17a65f8f98c1568eb3f990f2029b725d174bcb34,19,6a22bd2aaf171974ab9b625660a6f7c7f8cb0033,project_silver_repos/ookv8Icm8eRK9UsioV6z__flowpipe.zip,flowpipe,fix: joinTransform — null/undefined keys are now unmatchable (SQL NULL semantics),medium-high,19,1,0,,,npm test
frontend_copy,frontend-copy__c1329280c24b,Fix: contacts page bug on passed data into quick contact add,c1329280c24b985025e1ab30a9606f13a10d7a64,6,96d83b518a4c8072360fd4bd028e9bc1a263a20e,project_silver_repos/Amgl4P2B4JxfoCaaHsGG__frontend_copy.zip,frontend_copy,fix: contacts page bug on passed data into quick contact add,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
genie-api,genie-api__7a2e479c729b,Fix a small bug,7a2e479c729b0ed6edba31c10c33d68a5e4110bf,6,14c98dfc520dbe18a737d85b92a9040b451b51e1,project_silver_repos/GstLmUs025XBQxrcJLvx__genie-api.zip,genie-api,Fix a small bug,medium-high,19,2,0,,,pytest
go-fintech-ops,go-fintech-ops__7751b19c71ed,Fix(query): handle null timestamps in payment query,7751b19c71ed64e6b00f246db7c9fb416492e264,44,d70a32543e7a98fed4be1861befd49121ea4e9b0,project_silver_repos/NxLw5qcEvFJmGgnYEy8G__go-fintech-ops.zip,.,fix(query): handle null timestamps in payment query,medium-high,19,1,0,,,
hostlight,hostlight__a842c8d67029,Fix(scan): treat blank vendor as nil,a842c8d670295391f120d3fe693b2fe1d3c822c5,10,5712efd65f75dff6a437d000ed519b900ed4612f,project_silver_repos/qW03kJ9AeOsLjy9oF5vv__hostlight.zip,hostlight,fix(scan): treat blank vendor as nil,medium-high,19,1,0,,,
idash_fastapi,idash-fastapi__553b9e53a42c,FIXED : new bug code to 8 digits,553b9e53a42c45bd91525f25158da04f0698f0a0,8,4d7a31d98ba90e56ccf3f3350d9e7affb630c325,project_silver_repos/vgSiMxnUkX2MyWBf7Zc7__idash_fastapi.zip,idash_fastapi,FIXED : new bug code to 8 digits,medium-high,19,1,0,,,
idash_fastapi,idash-fastapi__9cf82b640ccc,FIXED : add bug block util func,9cf82b640ccc02f694b958561ccbbc78fc870918,29,c9236fc235c427ac3902f426fe86671752fb3103,project_silver_repos/vgSiMxnUkX2MyWBf7Zc7__idash_fastapi.zip,idash_fastapi,FIXED : add bug block util func,medium-high,19,2,0,,,
idash_fastapi,idash-fastapi__a2b266178215,FIXED : clean up rds bug code,a2b2661782151796091f10646676be8f7e2c75f9,87,9cf82b640ccc02f694b958561ccbbc78fc870918,project_silver_repos/vgSiMxnUkX2MyWBf7Zc7__idash_fastapi.zip,idash_fastapi,FIXED : clean up rds bug code,medium-high,19,2,0,,,
Lo_Vi,lo-vi__76e504175a49,"Fixed a Bug with a component ""Google Gemini Effect""",76e504175a49c16140e2520f801cbc20ba764b7f,161,57ca30c931ebf1a0bd68227346dc6b6cff7a0efc,project_silver_repos/EnGIFIcqWcaAmpYP9SaF__Lo_Vi.zip,Lo_Vi,"Fixed a Bug with a component ""Google Gemini Effect""",medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
management-bot,management-bot__be471f4403e3,Fix(trialserver commands): fix ip column cache bug,be471f4403e3c32fb967f948a1f3af3973b65359,155,c4c463917438d58bb940273290ddee84d2bfdbe8,project_silver_repos/0GEqltSbrfCx4dSkMv2d__management-bot.zip,management-bot,fix(trialserver commands): fix ip column cache bug,medium-high,19,5,0,,,npm install && npm test (verify package.json scripts)
meridian,meridian__77cd981fd74a,"Investigate and fix auth, permission issue indicated by commit 'feat(auth): add RBAC permission model' in crates/auth/src/rbac.rs.",77cd981fd74a2026b2d7a730ff79bf0539fb7b06,49,d1e93f05ea57033360c81bf5931bbdb6f170beb7,project_silver_repos/lsKkFQ7rQskZGSPFHVX6__meridian.zip,meridian,feat(auth): add RBAC permission model,medium-high,19,1,0,,,cargo test
meshlink,meshlink__d45629a92373,Fix: timeout handling in utils,d45629a9237316828aa6a1b6127cc7db63ebc674,243,df524af330f13b095671fe9f1322fb5e252c15b6,project_silver_repos/O2kEIQypm6SmPPkjgQxZ__meshlink.zip,.,fix: timeout handling in utils,medium-high,19,2,0,,,pytest
meshlink,meshlink__df524af330f1,Fix: null check in resilience,df524af330f13b095671fe9f1322fb5e252c15b6,192,2fe640106a4b4e1b2818f71b5127ffb414bdaa28,project_silver_repos/O2kEIQypm6SmPPkjgQxZ__meshlink.zip,.,fix: null check in resilience,medium-high,19,1,0,,,pytest
messaging-ui,messaging-ui__c446b3bf0e38,Fix client-side timeout for large file messages,c446b3bf0e38cb812c91cc2163ba97a555346125,23,e19a2cf377fd2246365f5871692fc0dd71c977a5,project_silver_repos/F0HoIKfPjdNbdUcgLCkQ__messaging-ui.zip,messaging-ui,Fix client-side timeout for large file messages,medium-high,19,1,0,,,npm test
MGF,mgf__5cff19275934,Fix bug,5cff192759343da61d9585b51ab85f882302274b,7,fb1e20504756fea1f666bc18c419b8ed0be351e9,project_silver_repos/PFafJP4GGqMfxFQlGUSv__MGF.zip,imm,Fix bug,medium-high,19,1,0,,,cargo test
MGF,mgf__b06c8b0f1978,Fix Bug,b06c8b0f1978aac24452c21878647601fb1b6da1,6,5a573eedaff97b88e576627d37fd8887e0edfd70,project_silver_repos/PFafJP4GGqMfxFQlGUSv__MGF.zip,imm,Fix Bug,medium-high,19,2,0,,,cargo test
MGF,mgf__db111aee37ec,Fix Bug,db111aee37ecfd1e57db6b906f5246d52168bd5f,7,526d06bb3a64e131b6401922e19cf1aea29c4f54,project_silver_repos/PFafJP4GGqMfxFQlGUSv__MGF.zip,imm,Fix Bug,medium-high,19,1,0,,,cargo test
MuzNet-mobile,muznet-mobile__683930066139,Fix: small bug on border-radius,683930066139986f2364156047d78e7aba784d91,11,68ae6509753287ac2ebceeb885c4b3658d562ad9,project_silver_repos/ukb6GgsSRhS4OBTCXCIH__MuzNet-mobile.zip,MuzNet-JavaScript,fix: small bug on border-radius,medium-high,19,3,0,,,npm install && npm test (verify package.json scripts)
ours,ours__f348fa617854,Fixed trim to use null values instead empty strings,f348fa6178548b3da86255c3c5bcb2bcf773ab1c,28,e5e66e8d72e0a457c3d64edfdd8e354e2c5005ff,project_silver_repos/qICKbAVgcinihlgKjSgd__ours.zip,ours,fixed trim to use null values instead empty strings,medium-high,19,2,0,,,npm install && npm test (verify package.json scripts)
portfolio-v3,portfolio-v3__73f32580b7fc,Fix bug,73f32580b7fc6416315525bbd290f7a0480bf5ce,5,df23482be9a26005a68d61d0361c5ba80d164dc5,project_silver_repos/p13ssvjv5DalecNs99jE__portfolio-v3.zip,portfolio-v3,fix bug,medium-high,19,2,0,,,
PrepLane,preplane__cab31e44a72e,Fix: dictionary API timeout and missing error handling,cab31e44a72e9f2535fb67d5cad2ae3120d3440b,155,438471ec3b5103f26122558da81dba73e514bd5f,project_silver_repos/oesYoDA55oqhzoGdQcnG__PrepLane.zip,PrepLane,fix: dictionary API timeout and missing error handling,medium-high,19,2,0,,,npm test
qkit,qkit__c8bf7d5bdcfe,"Investigate and fix overflow, integer issue indicated by commit 'fail integer literals that overflow int64 instead of silent float fallback' in internal/binder/binder.go.",c8bf7d5bdcfe05f14a6e318168852981ce48ed57,8,f7ba9e55fb3c8f18be465992c4770e0ad44bed7d,project_silver_repos/3QjFR7kwFqnVvafkCTLf__qkit.zip,.,fail integer literals that overflow int64 instead of silent float fallback,medium-high,19,1,0,,,go test ./...
rex,rex__057c7aeba17f,"Investigate and fix parser, traversal issue indicated by commit 'implement tree traversal functions and visitor pattern for parser nodes' in internal/walk/walk.go.",057c7aeba17f2160c3e1ced070a15fcfd8dccf23,88,e3af515cd191b2a8ed1c530cf883cbb31c5aa980,project_silver_repos/ZLve5UTyEi2UB7JjZyQW__rex.zip,.,implement tree traversal functions and visitor pattern for parser nodes,medium-high,19,1,0,,,go test ./...
Secure-messaging-backend,secure-messaging-backend__df58f98375be,Fixed email bug finally,df58f98375becb74114c9700affe06c6b405df2d,220,032f23487c401e6152cfb33edeb98271d621644f,project_silver_repos/oxYPw3vxWUYkogQ3tCaP__Secure-messaging-backend.zip,Secure-messaging-backend,Fixed email bug finally,medium-high,19,2,0,,,
Shutter_Back-end,shutter-back-end__8fa342d62cb0,Fixed a bug  error message when creating an appointment.,8fa342d62cb0fd4c2f44f995e2a609e0722161fb,7,618d67bd440672636575b7c5d4d9fbfd61307902,project_silver_repos/u37Wgc3p11qFjqCyXmmt__Shutter_Back-end.zip,.,Fixed a bug  error message when creating an appointment.,medium-high,19,1,0,,,dotnet test
slotpay,slotpay__9abe934fc77b,"Fix: correct cli arg bug, retry logic, and package metadata",9abe934fc77bc55051880f79443f74bd5d39f708,14,f3d5e57c89210d7da7daab26ea134769c141ae6e,project_silver_repos/FIEefzl0QT0rziLW4ea8__slotpay.zip,slotpay,"fix: correct cli arg bug, retry logic, and package metadata",medium-high,19,4,0,,,pytest
solareum-bot,solareum-bot__9f6c6e0ea43e,Fixed some bug in syncing raydium lp,9f6c6e0ea43e1ac49c1a5e77caa6990f8ec30e6c,50,4c115bde3cf270395996388778fec874c945a133,project_silver_repos/15IcnEjLpelYd69TCpGI__solareum-bot.zip,solareum-bot,fixed some bug in syncing raydium lp,medium-high,19,3,0,,,npm test
solareum-bot,solareum-bot__e4b42e4db46d,Fixed redis indexing bug,e4b42e4db46d34437449fc4e2ff884e92f614ac7,6,ee9d4c1f1fcd00b2d2348d7f98266ab84708a33b,project_silver_repos/15IcnEjLpelYd69TCpGI__solareum-bot.zip,solareum-bot,fixed redis indexing bug,medium-high,19,1,0,,,npm test
soundrig-artist-app,soundrig-artist-app__95f1872b59a0,FIxed bug,95f1872b59a029d6b602ce7d6cfaaea4060504d8,20,128e92c132c7b08b3887ba08697a56d970ded2e7,project_silver_repos/1OHUTC78k0atS6kRVLLZ__soundrig-artist-app.zip,.,FIxed bug,medium-high,19,2,0,,,npm test
soundrig-artist-app,soundrig-artist-app__ae205b2a6c5f,Fixed the log-in bug,ae205b2a6c5fdd0e2a13c69bc2913c0f381298f4,29,eab3846d46760a3c8d0b3d30be2eb4af6053d258,project_silver_repos/1OHUTC78k0atS6kRVLLZ__soundrig-artist-app.zip,.,Fixed the log-in bug,medium-high,19,2,0,,,npm test
ss-inbound-fulfillment,ss-inbound-fulfillment__159afa750c8f,Fix duplication bug,159afa750c8feb723f35d21ec2823d1c23209a5f,6,dff68945350d44718c707692b3a4076702a28f5e,project_silver_repos/cSeHRVKCSLS9Pitdm3Nb__ss-inbound-fulfillment.zip,ss-inbound-fulfillment,fix duplication bug,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
ss-inbound-fulfillment,ss-inbound-fulfillment__2929ed85a1c8,Fixed check in quantity sync bug,2929ed85a1c86600dcc4a8ee8b71925fed964289,5,753edaab593f63e5c1f7078b4a9d5041921dfa7b,project_silver_repos/cSeHRVKCSLS9Pitdm3Nb__ss-inbound-fulfillment.zip,ss-inbound-fulfillment,Fixed check in quantity sync bug,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
ss-inbound-fulfillment,ss-inbound-fulfillment__e846d135e7b5,Fixed bug,e846d135e7b56042627b7b516289630e5690ff64,17,15a698fd1a42a9f19802db7c69ef613df8d8105d,project_silver_repos/cSeHRVKCSLS9Pitdm3Nb__ss-inbound-fulfillment.zip,ss-inbound-fulfillment,fixed bug,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
stocktracker,stocktracker__3686602e118d,"Investigate and fix auth, permission issue indicated by commit 'add auth middleware with permission and role decorators' in src/stocktracker/auth/middleware.py.",3686602e118d519480e083066b490a4ff16f5a7a,71,351df48878dcd9e360ddc7dbbd8543453e25eba9,project_silver_repos/1nRH7kOHX4AsJiFZ7dSf__stocktracker.zip,stocktracker,add auth middleware with permission and role decorators,medium-high,19,1,0,,,pytest
synapsemq-repo,synapsemq-repo__c5c9c318dd24,"Investigate and fix auth, permission issue indicated by commit 'feat(auth): permission model — tenant/queue/operation ACL enforcement' in synapsemq/auth/permissions.py.",c5c9c318dd24c3797a87ea12123d87c3a96526ce,248,798c3efb063cafe08b09c203142cb40363a4dfcf,project_silver_repos/ALuS2PZifQVdMxFGB1oV__synapsemq-repo.zip,.,feat(auth): permission model — tenant/queue/operation ACL enforcement,medium-high,19,1,0,,,pytest
taskbeast,taskbeast__f34e8b28c674,Fixed github action timeout issue by increasing it to 10 mins,f34e8b28c674a81b3418327cdaa585ea29d0d8c8,91,988c77212cb35c93018ee670c4ccddb69c41278d,project_silver_repos/vjzmiUA9sin4THKS8oCr__taskbeast.zip,.,Fixed github action timeout issue by increasing it to 10 mins,medium-high,19,2,0,,,pytest
verifyy-2.0,verifyy-2.0__832cd9f694cc,Fix bug,832cd9f694ccef9bed512d84803f2fc9f1039d54,9,9143d54ca7603cfd5d64ee2e4415e8a6bfdc06aa,project_silver_repos/Ct3ttzbiIkYUbs6OtzPb__verifyy-2.0.zip,.,Fix bug,medium-high,19,2,0,,,
vesto-backend,vesto-backend__54517c0b5736,Fix the session bug,54517c0b57364f3a425549e6c5e1f8ab466a583b,8,d48e42b1188b1a111034494e5662aabee79e875c,project_silver_repos/tb2HsgfXjZv7WcC1ztmy__vesto-backend.zip,vesto-backend,fix the session bug,medium-high,19,1,0,,,
vesto-backend,vesto-backend__6ad9d5dd06ef,Fixed:Bug 4 — Duplicate contact email (backend):,6ad9d5dd06ef2004abcae05f9f00909c3b409a0d,11,0cf4c32531233cc9a0f779e5a18480ad1f34e8f4,project_silver_repos/tb2HsgfXjZv7WcC1ztmy__vesto-backend.zip,vesto-backend,fixed:Bug 4 — Duplicate contact email (backend):,medium-high,19,1,0,,,
weprocess-laravel-be,weprocess-laravel-be__9c459bd07cd2,Fix: Sanitize statement input in ServeSosService,9c459bd07cd2396fb61513d0f2c8976f1dcf9169,6,b469ea25263cd0bf85c4b2a49e3e30b0ba074002,project_silver_repos/YNhuVb8uhpZkcZTRtRgn__weprocess-laravel-be.zip,.,fix: Sanitize statement input in ServeSosService,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
weprocess-laravel-be,weprocess-laravel-be__ad967499e075,Fix: Sanitize statement input in ServeSosService,ad967499e07527999f458bb7f0d4562a536000fe,6,88dee5b4f9de601fb9c0ed45099175052fe8f9c4,project_silver_repos/YNhuVb8uhpZkcZTRtRgn__weprocess-laravel-be.zip,.,fix: Sanitize statement input in ServeSosService,medium-high,19,1,0,,,npm install && npm test (verify package.json scripts)
4shelf-backend,4shelf-backend__756949109f3a,Fixed issue: fix some apis,756949109f3a9cc7682e2b1c987a285af68a9591,238,7961c86d463a98f4ab2ac319b5fa24ecba725286,project_silver_repos/LAIJmtmOVWY3XMgDnyjP__4shelf-backend.zip,.,fixed issue: fix some apis,medium-high,18,5,0,,,npm install && npm test (verify package.json scripts)
4shelf-backend,4shelf-backend__b2c91fe50e3e,"Fixed issue: api/auth/login/show shops, categories",b2c91fe50e3ebde719bd610ae6cdb89d2ee2322a,165,1320df85019463a2612b26663692b0085e82098f,project_silver_repos/LAIJmtmOVWY3XMgDnyjP__4shelf-backend.zip,.,"fixed issue: api/auth/login/show shops, categories",medium-high,18,10,0,,,npm install && npm test (verify package.json scripts)
book_1,book-1__53bac4a415a3,Fixed validation message in eposbranchstock page...,53bac4a415a3e1e8c9e8b31d7aa6d7c23f3cb275,10,9bdfc59b82939ffdae9b264d651737e4eb7911a7,project_silver_repos/b2KSMTGAZvIaEShXNgxf__book_1.zip,.,Fixed validation message in eposbranchstock page...,medium-high,18,1,0,,,npm install && npm test (verify package.json scripts)
cronus-ims,cronus-ims__e7ee7bf9a958,Fix race condition when two adjustments hit same stock level,e7ee7bf9a958d29cd0ceb76bb9a91c79751c184e,1,4aa184edb1b108052dd5661ffc41f43445093889,project_silver_repos/ufF90ECSWBNPYRCZPbas__cronus-ims.zip,cronus-ims,fix race condition when two adjustments hit same stock level,medium-high,18,1,0,,,pytest
csv-to-shopify-flow,csv-to-shopify-flow__6411bf02168b,Fix rulebook parser for weight index,6411bf02168b23b98c995196e93ffd812597490b,38,cf0e6c758f3cac3636a01fff90011a6b0fd9b20f,project_silver_repos/inEIfhmA8IvFURq5Qjlb__csv-to-shopify-flow.zip,csv-to-shopify-flow,Fix rulebook parser for weight index,medium-high,18,1,0,,,npm install && npm test (verify package.json scripts)
dogstar-backend,dogstar-backend__13d7dae5ffb2,Fix: Convert startingBalance to Number for validation in CreateAccount op,13d7dae5ffb2fbbf09df8d95538eaaab91567646,6,bdaea08d6cc69dc46160feb7ebaad39e6fc7a595,project_silver_repos/kxeSUkeYGxaGvWur7zK4__dogstar-backend.zip,dogstar-backend,Fix: Convert startingBalance to Number for validation in CreateAccount op,medium-high,18,1,0,,,npm install && npm test (verify package.json scripts)
DomiSource-Realtor-Profiles,domisource-realtor-profiles__20560a24f159,Fix: add validation for id parameter in SSR profile route,20560a24f15919b71778d416bf784cdb6864449d,7,8c368a665e397471b79b0b2a2d3efe93b71704fe,project_silver_repos/j81fgvFaP9phUrkeWoJp__DomiSource-Realtor-Profiles.zip,DomiSource-Realtor-Profiles,fix: add validation for id parameter in SSR profile route,medium-high,18,1,0,,,npm install && npm test (verify package.json scripts)
Endubis-Wallet-Dev-Backend,endubis-wallet-dev-backend__12c8c269373a,Fix: Ad transaction fixed by using seedphrase form storage api.,12c8c269373a1b9d197d5913530c22cfa0527624,70,cb523091d75dce2b301b94b2e02b967b5a9e397d,project_silver_repos/h2JL88J5IFbpvHigYVlh__Endubis-Wallet-Dev-Backend.zip,Endubis-Wallet-Dev-Backend,fix: Ad transaction fixed by using seedphrase form storage api.,medium-high,18,2,0,,,npm test
Endubis-Wallet-Dev-Backend,endubis-wallet-dev-backend__33f68a729802,Fix: Ton tnx fixed.,33f68a7298027169e49c2935fddfd217bd3fcd3d,180,3162987632192565650983a46775395181a05092,project_silver_repos/h2JL88J5IFbpvHigYVlh__Endubis-Wallet-Dev-Backend.zip,Endubis-Wallet-Dev-Backend,fix: Ton tnx fixed.,medium-high,18,4,0,,,npm test
esim-platform,esim-platform__3385883f0dbb,Fix Router Manager status parsing to correctly parse script output,3385883f0dbb03f5fef8ef853a7aebab291c9892,131,2cfa1c36460a9246442855824313c36ae40a2752,project_silver_repos/s6LjMnkjGj85TwOqceqP__esim-platform.zip,esim-platform,Fix Router Manager status parsing to correctly parse script output,medium-high,18,1,0,,,pytest
Faillink,faillink__e83d89afdb0d,Fix(api): validate alert id for test-email endpoints,e83d89afdb0d30d93ef17fe3dfae7732b6f672d5,10,4fa4c56900afe01c4525aedc58042d6a8d642b3e,project_silver_repos/NxE6li2ZRWge2lf447bz__Faillink.zip,Faillink,fix(api): validate alert id for test-email endpoints,medium-high,18,2,0,,,pytest
forge-idp,forge-idp__8fbaabc53437,Fix deployment status race condition with DB lock,8fbaabc534370e9ceb204170224a38caa4b59fcf,1,e66a6daaa4dc4ed2f5661234ea54681bcc3e1522,project_silver_repos/azHcKU0we3bcZc7UTWXB__forge-idp.zip,forge-idp,Fix deployment status race condition with DB lock,medium-high,18,1,0,,,make test
forge-idp,forge-idp__f724a1c31a0d,Fix incident assignment race condition with advisory lock,f724a1c31a0d0b62a1cde3d0b35616c1ffcb4064,1,bb0a91b7a13238e2985cd690d28fd7870cf28623,project_silver_repos/azHcKU0we3bcZc7UTWXB__forge-idp.zip,forge-idp,Fix incident assignment race condition with advisory lock,medium-high,18,1,0,,,make test
frontend_copy,frontend-copy__a9141f99515c,Fix:fix pdf worker thread,a9141f99515cdbd8889f2684359470c615a67e11,7,2cb795fced696ebf90e51605a038db3948378768,project_silver_repos/Amgl4P2B4JxfoCaaHsGG__frontend_copy.zip,frontend_copy,fix:fix pdf worker thread,medium-high,18,2,0,,,npm install && npm test (verify package.json scripts)
go-fintech-ops,go-fintech-ops__f6ff5aaf3a8f,Fix(service): correct refund amount validation,f6ff5aaf3a8f50df5e100110f24b14ef91bc3757,22,ea47da33e5ff8f5ac5346323c9488cfbee5b8da5,project_silver_repos/NxLw5qcEvFJmGgnYEy8G__go-fintech-ops.zip,.,fix(service): correct refund amount validation,medium-high,18,1,0,,,
go-logistics-ops,go-logistics-ops__f369bf8959ad,Fix(http): validate Content-Type on upload endpoints,f369bf8959adff339bc94f4a8b9bec072ce8a7ee,61,983d0307c16c53b65e7cb1bea268be38a443c272,project_silver_repos/t0Yo101vf1lgc66caESg__go-logistics-ops.zip,.,fix(http): validate Content-Type on upload endpoints,medium-high,18,2,0,,,
hinglish-voice-collection-agent,hinglish-voice-collection-agent__1b4ececb51f1,Fix(turn_processor): include turn index and canonical amount in log lines,1b4ececb51f161cf50eb1fa2ab1b5a5fc5bccecb,8,32a5566d4b41fbf73d1af87a344987de8677f7e2,project_silver_repos/sVZ8WybOvPYMXlWU9ETG__hinglish-voice-collection-agent.zip,hinglish-voice-collection-agent-upload,fix(turn_processor): include turn index and canonical amount in log lines,medium-high,18,1,0,,,pytest
hostlight,hostlight__aca0f31b4394,Fix(web): sidebar collapse memory,aca0f31b439455edc77dddca1ca5fbfee341a743,16,7b75eeda4d344ac0bb829ac16646462e9264d7c7,project_silver_repos/qW03kJ9AeOsLjy9oF5vv__hostlight.zip,hostlight,fix(web): sidebar collapse memory,medium-high,18,1,0,,,
house-price-prediction,house-price-prediction__8782e6fd3a84,"Fix validate_features for numpy arrays, add feature_importances to Ridge, fix StackingEnsemble.fit indexing",8782e6fd3a84f77338429031e46f3e8d457872c0,38,ef4699a4ad6efb57763267d84a02200daa1bcfb6,project_silver_repos/d9AczXFCC8QvQW6229cc__house-price-prediction.zip,house-price-prediction,"fix validate_features for numpy arrays, add feature_importances to Ridge, fix StackingEnsemble.fit indexing",medium-high,18,4,0,,,pytest
industrial-platform-repo,industrial-platform-repo__4068a78b050c,"Investigate and fix validation, security issue indicated by commit 'Add sandboxed PDF viewer tab with security validation' in diamante/application/gui.py, diamante/core/pdf_utils.py.",4068a78b050cb13303840113c01eb0c8186d805b,150,b5d0a1972a1c4abd68af7cda46b4ce8673cff803,project_silver_repos/fXkd7ete5CGoX1KXFVud__industrial-platform-repo.zip,.,Add sandboxed PDF viewer tab with security validation,medium-high,18,2,0,,,
Junehavens-Solution-V2,junehavens-solution-v2__1203f2032380,Fix: replace all Unicode checkmark characters with [OK] text,1203f2032380762e526e11162e0dbf0fd94c85d9,20,0b5faab84988f4d3cbaaafd6fb66ff8c5c78290c,project_silver_repos/I2LH3oCQ9usNIQRskTJ8__Junehavens-Solution-V2.zip,Junehavens-Solution-V2,fix: replace all Unicode checkmark characters with [OK] text,medium-high,18,4,0,,,pytest
Junehavens-Solution-V2,junehavens-solution-v2__3287710d1da2,Fix: Replace all Unicode characters with ASCII equivalents in mpesa_service.py for production compatibility,3287710d1da294a0d02e387683415f152d0c590a,28,cd00150e4dfac8855bc0d29cee9434f0fd6f0835,project_silver_repos/I2LH3oCQ9usNIQRskTJ8__Junehavens-Solution-V2.zip,Junehavens-Solution-V2,Fix: Replace all Unicode characters with ASCII equivalents in mpesa_service.py for production compatibility,medium-high,18,1,0,,,pytest
Junehavens-Solution-V2,junehavens-solution-v2__d0d6c70a313f,Fix: Replace ALL Unicode characters with ASCII in payments module for production server compatibility,d0d6c70a313ffac8c3688e91eeaf7b90041be6cf,22,d287a862e678817687dbf56a23a1536d1162a490,project_silver_repos/I2LH3oCQ9usNIQRskTJ8__Junehavens-Solution-V2.zip,Junehavens-Solution-V2,Fix: Replace ALL Unicode characters with ASCII in payments module for production server compatibility,medium-high,18,1,0,,,pytest
lop-token,lop-token__e149877e74da,Fix: lop supply validation for swap,e149877e74da728fdf3fe5749f6de32edb098634,47,c7307d0af00d0932776b6d10c65213eb11fd3d0b,project_silver_repos/Vs7qBPbKDigtlpC13zQJ__lop-token.zip,.,fix: lop supply validation for swap,medium-high,18,1,0,,,npm test
